,data_base,modalidade,porte,valor_deflacionado
297,2012-10-01,Rural e agroindustrial,Acima de 20 salários mínimos,45603640864.93633
298,2012-10-01,Rural e agroindustrial,Até 1 salário mínimo,3579640308.292295
299,2012-10-01,Rural e agroindustrial,Indisponível,1094783485.7746496
300,2012-10-01,Rural e agroindustrial,Mais de 10 a 20 salários mínimos,11419058212.745602
301,2012-10-01,Rural e agroindustrial,Mais de 1 a 2 salários mínimos,5351191776.445821
302,2012-10-01,Rural e agroindustrial,Mais de 2 a 3 salários mínimos,5254895143.16043
303,2012-10-01,Rural e agroindustrial,Mais de 3 a 5 salários mínimos,8976102206.373266
304,2012-10-01,Rural e agroindustrial,Mais de 5 a 10 salários mínimos,13339343086.336147
305,2012-10-01,Rural e agroindustrial,Sem rendimento,13076097970.909637
306,2012-10-01,Veículos,Acima de 20 salários mínimos,27318863661.39122
307,2012-10-01,Veículos,Até 1 salário mínimo,5433451224.723866
308,2012-10-01,Veículos,Indisponível,2596541628.455946
309,2012-10-01,Veículos,Mais de 10 a 20 salários mínimos,21155856070.928493
310,2012-10-01,Veículos,Mais de 1 a 2 salários mínimos,22690918667.69532
311,2012-10-01,Veículos,Mais de 2 a 3 salários mínimos,28409434277.872345
312,2012-10-01,Veículos,Mais de 3 a 5 salários mínimos,38475967075.18181
313,2012-10-01,Veículos,Mais de 5 a 10 salários mínimos,40738568894.43054
314,2012-10-01,Veículos,Sem rendimento,29035662257.462048
315,2012-11-01,Cartão de crédito,Acima de 20 salários mínimos,312353344.7223663
316,2012-11-01,Cartão de crédito,Até 1 salário mínimo,57755547.30231258
317,2012-11-01,Cartão de crédito,Indisponível,5149.900922401418
318,2012-11-01,Cartão de crédito,Mais de 10 a 20 salários mínimos,413026229.9872984
319,2012-11-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,237130356.02614808
320,2012-11-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,220153514.59928596
321,2012-11-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,334664171.7731122
322,2012-11-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,528205481.8979042
323,2012-11-01,Cartão de crédito,Sem rendimento,156837631.58835158
324,2012-11-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,21859312833.62302
