,data_base,modalidade,numero_de_operacoes
568,2019-03,Empréstimo com consignação em folha,52193169
569,2019-03,Empréstimo sem consignação em folha,27122131
570,2019-03,Habitacional,6457234
571,2019-03,Outros créditos,43984148
572,2019-03,Rural e agroindustrial,3678771
573,2019-03,Veículos,9737445
574,2019-04,Cartão de crédito,207574146
575,2019-04,Empréstimo com consignação em folha,52345000
576,2019-04,Empréstimo sem consignação em folha,28031941
577,2019-04,Habitacional,6418760
578,2019-04,Outros créditos,45031211
579,2019-04,Rural e agroindustrial,3660374
580,2019-04,Veículos,9799022
581,2019-05,Cartão de crédito,227113506
582,2019-05,Empréstimo com consignação em folha,52481660
583,2019-05,Empréstimo sem consignação em folha,29156694
584,2019-05,Habitacional,6434553
585,2019-05,Outros créditos,49859974
586,2019-05,Rural e agroindustrial,3629594
587,2019-05,Veículos,9856432
588,2019-06,Cartão de crédito,228865100
589,2019-06,Empréstimo com consignação em folha,52411856
590,2019-06,Empréstimo sem consignação em folha,29768085
591,2019-06,Habitacional,6457639
592,2019-06,Outros créditos,48884600
593,2019-06,Rural e agroindustrial,3587201
594,2019-06,Veículos,9915529
595,2019-07,Cartão de crédito,232872088
596,2019-07,Empréstimo com consignação em folha,52526912
597,2019-07,Empréstimo sem consignação em folha,30007421
598,2019-07,Habitacional,6473035
599,2019-07,Outros créditos,48647941
600,2019-07,Rural e agroindustrial,3474362
601,2019-07,Veículos,9933816
602,2019-08,Cartão de crédito,236499261
603,2019-08,Empréstimo com consignação em folha,52349100
604,2019-08,Empréstimo sem consignação em folha,30431719
605,2019-08,Habitacional,6464443
606,2019-08,Outros créditos,48521621
607,2019-08,Rural e agroindustrial,3502256
608,2019-08,Veículos,10011177
609,2019-09,Cartão de crédito,238910990
610,2019-09,Empréstimo com consignação em folha,52207167
611,2019-09,Empréstimo sem consignação em folha,30376082
612,2019-09,Habitacional,6479975
613,2019-09,Outros créditos,47969152
614,2019-09,Rural e agroindustrial,3537086
615,2019-09,Veículos,10087093
616,2019-10,Cartão de crédito,238389912
617,2019-10,Empréstimo com consignação em folha,52214030
618,2019-10,Empréstimo sem consignação em folha,30666957
619,2019-10,Habitacional,6512501
620,2019-10,Outros créditos,48626713
621,2019-10,Rural e agroindustrial,3556671
622,2019-10,Veículos,10182558
623,2019-11,Cartão de crédito,240237756
624,2019-11,Empréstimo com consignação em folha,52059381
625,2019-11,Empréstimo sem consignação em folha,30551489
626,2019-11,Habitacional,6543622
627,2019-11,Outros créditos,48603771
628,2019-11,Rural e agroindustrial,3565137
629,2019-11,Veículos,10287627
630,2019-12,Cartão de crédito,247655138
631,2019-12,Empréstimo com consignação em folha,51953223
632,2019-12,Empréstimo sem consignação em folha,28085898
633,2019-12,Habitacional,6571300
634,2019-12,Outros créditos,46629896
635,2019-12,Rural e agroindustrial,3579816
636,2019-12,Veículos,10360898
637,2020-01,Cartão de crédito,250853849
638,2020-01,Empréstimo com consignação em folha,52790965
639,2020-01,Empréstimo sem consignação em folha,26328924
640,2020-01,Habitacional,6573297
641,2020-01,Outros créditos,47443854
642,2020-01,Rural e agroindustrial,3571060
643,2020-01,Veículos,10466167
644,2020-02,Cartão de crédito,250431571
645,2020-02,Empréstimo com consignação em folha,53812894
646,2020-02,Empréstimo sem consignação em folha,26782399
647,2020-02,Habitacional,6585993
648,2020-02,Outros créditos,47845083
649,2020-02,Rural e agroindustrial,3555583
650,2020-02,Veículos,10533106
651,2020-03,Cartão de crédito,249095622
652,2020-03,Empréstimo com consignação em folha,54167844
